Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年1月2日,94.85,6.6,,,,,,,,
2013年1月3日,94.4,7.38,,,,,,,,
2013年1月4日,95,7.86,,,,,,,,
2013年1月7日,94.35,8.85,,,,,,,,
2013年1月8日,93.4,10.72,8.881216133,2.00%,,,,,,
2013年1月9日,93.3,10.73,10.2682423,12.00%,,,,,,
2013年1月10日,93.25,10.72,11.08263507,19.00%,,,,,,
2013年1月11日,93.65,11,6.416915147,-18.00%,,,,,,
2013年1月14日,93.6,10.94,2.529980237,-48.00%,,,49.03993195,-12.00%,,
2013年1月15日,93.3,8.31,2.684622879,-47.00%,,,57.4467342,-4.00%,,
2013年1月16日,93.25,8.14,2.812969961,-46.00%,,,52.74332189,-8.00%,,
2013年1月17日,93.35,6.92,2.589053881,-47.00%,,,23.94104069,-38.00%,,
2013年1月18日,93.25,6.25,2.069782597,-52.00%,,,4.009704112,-58.00%,,
2013年1月21日,93.25,3.26,0.634980315,-63.00%,,,12.73823299,-49.00%,,
2013年1月22日,93.25,3.21,0.634980315,-63.00%,,,14.92997541,-47.00%,,
2013年1月23日,93.15,3.25,1.003992032,-60.00%,,,12.67753534,-50.00%,,
2013年1月24日,93.15,1.9,0.777688884,-62.00%,,,8.570478909,-54.00%,,
2013年1月25日,93.25,2.1,0.777688884,-62.00%,,,2.144477314,-60.00%,,
2013年1月28日,95.35,12.07,13.67052303,39.00%,,,81.75578403,21.00%,,
2013年1月29日,95.35,12.03,16.85989324,64.00%,12.39865443,-48.00%,113.2265366,54.00%,,
2013年1月30日,95.45,12.03,16.99684677,65.00%,13.23680276,-44.00%,118.6709396,59.00%,,
2013年1月31日,95.2,12.21,13.31567497,36.00%,13.98896934,-41.00%,94.85564231,35.00%,,
2013年2月1日,95.4,12.13,1.328156617,-57.00%,14.48641832,-40.00%,91.48295801,31.00%,,
2013年2月4日,95.6,12.04,2.069782597,-52.00%,15.66185863,-35.00%,111.1287789,51.00%,89.66143173,-21.00%
2013年2月5日,96.15,11.89,5.104586173,-28.00%,17.36007216,-28.00%,99.6391211,40.00%,89.01317741,-21.00%
2013年2月6日,96.3,11.77,6.764850331,-15.00%,18.79091326,-23.00%,68.0114913,7.00%,87.55178717,-23.00%
2013年2月7日,95.7,12.9,5.397332675,-26.00%,19.11452809,-22.00%,32.98932458,-29.00%,85.16628131,-25.00%
2013年2月8日,96,5.58,4.2,-35.00%,19.7855689,-19.00%,24.675896,-37.00%,85.11973909,-25.00%
2013年2月11日,95.4,6.75,5.129210466,-28.00%,19.77349901,-19.00%,13.14956185,-49.00%,84.60005815,-25.00%
2013年2月12日,95.55,6.78,5.129210466,-28.00%,19.49038427,-20.00%,13.13022224,-49.00%,84.09050213,-26.00%
2013年2月13日,95.1,7.14,4.76235236,-31.00%,18.79991041,-23.00%,6.578146802,-56.00%,83.61467074,-26.00%
2013年2月14日,95.1,7.02,5.303131151,-26.00%,18.07126026,-26.00%,6.255531814,-56.00%,82.96488658,-26.00%
2013年2月15日,94.85,6.94,3.920714221,-37.00%,17.05946026,-30.00%,7.881475528,-54.00%,82.21727976,-27.00%
2013年2月18日,94.65,5.68,4.788736785,-30.00%,15.9193006,-34.00%,7.561235016,-55.00%,80.23198637,-29.00%
2013年2月19日,94.9,5.91,2.684622879,-47.00%,14.53417751,-39.00%,14.56978777,-48.00%,78.83959339,-30.00%
2013年2月20日,94.9,5.24,2.278420506,-50.00%,12.6584827,-47.00%,18.52729457,-44.00%,77.94034315,-31.00%
2013年2月21日,95.25,5.38,3.069983713,-44.00%,10.16945504,-56.00%,14.31364048,-48.00%,76.36940567,-32.00%
2013年2月22日,94.5,5.96,4.059655158,-36.00%,7.486218918,-67.00%,14.6175486,-48.00%,74.26046837,-34.00%
2013年2月25日,93.35,8.19,10.46514214,14.00%,10.27850593,-56.00%,48.17703219,-13.00%,71.03246572,-36.00%
2013年2月26日,92.75,8.38,15.05151155,50.00%,13.52376855,-43.00%,78.80438392,18.00%,67.80947392,-39.00%
2013年2月27日,93.55,10.35,14.07022388,42.00%,14.5255057,-39.00%,78.88126446,18.00%,62.4206135,-43.00%
2013年2月28日,94.25,11.46,10.00975524,10.00%,14.75038358,-39.00%,61.44683551,0.00%,58.42158503,-47.00%
2013年3月1日,94.05,11.46,8.435923186,-2.00%,14.99567306,-38.00%,40.06097351,-21.00%,56.74969642,-48.00%
2013年3月4日,93.35,11.78,8.435923186,-2.00%,15.70287687,-35.00%,44.77019207,-17.00%,55.25861486,-49.00%
2013年3月5日,93.1,11.73,6.81680277,-15.00%,15.91081062,-34.00%,39.26907322,-22.00%,55.04927657,-50.00%
2013年3月6日,92.75,11.21,9.007996448,3.00%,15.95882613,-34.00%,16.45178978,-46.00%,55.70850405,-49.00%
2013年3月7日,92.35,10.85,9.113682022,3.00%,16.88877859,-30.00%,13.05363592,-49.00%,56.137023,-49.00%
2013年3月8日,92.05,9.19,7.539973475,-9.00%,17.38178493,-28.00%,14.00332478,-48.00%,55.34415936,-49.00%
2013年3月11日,91.85,8.73,7.23292472,-11.00%,18.36632502,-25.00%,14.95858624,-47.00%,54.92339993,-50.00%
2013年3月12日,92.3,7.54,4.825432623,-30.00%,18.13902234,-25.00%,24.68940716,-37.00%,55.07121646,-50.00%
2013年3月13日,92.25,5.37,2.944282595,-45.00%,18.14162704,-25.00%,34.60132353,-27.00%,56.38451275,-48.00%
2013年3月14日,92.2,5.46,2.589053881,-47.00%,17.89077386,-26.00%,32.92042245,-29.00%,58.16898938,-47.00%
2013年3月15日,92.55,5.29,3.570882244,-40.00%,17.37610882,-28.00%,26.70720228,-35.00%,58.40436922,-47.00%
2013年3月18日,92.25,5.35,1.969974619,-52.00%,17.07116683,-30.00%,15.43860791,-47.00%,60.43643038,-45.00%
2013年3月19日,91.75,5.7,4.078234912,-36.00%,16.62795126,-31.00%,11.70153384,-51.00%,59.4515876,-46.00%
2013年3月20日,91.1,6.35,8.00994382,-5.00%,16.54438766,-32.00%,33.5791222,-28.00%,57.25185001,-48.00%
2013年3月21日,91.6,7.24,8.04760834,-5.00%,14.55583442,-39.00%,39.09720244,-22.00%,55.43689643,-49.00%
2013年3月22日,91.8,7.3,5.875712723,-22.00%,13.2079641,-44.00%,37.13916885,-24.00%,54.44083925,-50.00%
2013年3月25日,91.9,6.73,4.478749826,-33.00%,13.05970601,-45.00%,26.75910527,-35.00%,54.13926908,-50.00%
2013年3月26日,91.75,6.76,4.478749826,-33.00%,13.27376221,-44.00%,25.31745955,-37.00%,46.38911482,-57.00%
2013年3月27日,90.95,8.05,5.383307533,-26.00%,13.58828152,-43.00%,20.83641592,-41.00%,37.61386762,-64.00%
