Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年1月2日,373.6,22.48,,,,,,,,
2013年1月3日,371.7,21.38,,,,,,,,
2013年1月4日,369.35,17.5,,,,,,,,
2013年1月7日,367.8,18.03,,,,,,,,
2013年1月8日,367.2,17.39,38.18338906,-12.00%,,,,,,
2013年1月9日,367.05,16.52,27.65355673,-58.00%,,,,,,
2013年1月10日,370.9,17.02,23.28417488,-77.00%,,,,,,
2013年1月11日,365.4,19.73,28.58116863,-54.00%,,,,,,
2013年1月14日,363.4,17.64,39.24055045,-7.00%,,,99.22169611,-71.00%,,
2013年1月15日,363.75,10.97,43.32606606,11.00%,,,120.1399393,-56.00%,,
2013年1月16日,360.65,11.34,53.99806663,57.00%,,,172.532023,-17.00%,,
2013年1月17日,366.2,14.89,30.43023496,-46.00%,,,146.4661035,-36.00%,,
2013年1月18日,367.9,15.02,39.50998861,-6.00%,,,121.0930727,-55.00%,,
2013年1月22日,370.5,15.42,53.77921532,56.00%,,,142.0088956,-40.00%,,
2013年1月23日,368.45,15.82,53.02513366,53.00%,,,151.9755596,-32.00%,,
2013年1月24日,367.65,14.63,22.14138207,-82.00%,,,197.0004566,1.00%,,
2013年1月25日,365.2,12.6,26.94648029,-61.00%,,,206.3512191,8.00%,,
2013年1月28日,366.15,12.22,29.26856334,-51.00%,,,215.3286388,14.00%,,
2013年1月29日,369.15,12.84,23.11145171,-78.00%,,,180.3260675,-11.00%,,
2013年1月30日,375,13.2,54.86382415,61.00%,54.97040352,-86.00%,191.7152449,-3.00%,,
2013年1月31日,373.2,12.16,60.85839958,87.00%,54.43115594,-87.00%,248.1591538,39.00%,,
2013年2月1日,378.45,13.73,68.69352808,121.00%,65.03669673,-60.00%,284.7628106,66.00%,,
2013年2月4日,376.85,14.02,51.03746859,44.00%,71.92897319,-42.00%,245.9687523,37.00%,,
2013年2月5日,377,13.34,28.85058058,-53.00%,77.83983505,-27.00%,212.7970712,13.00%,219.9385408,-62.00%
2013年2月6日,374.05,14.31,31.21026754,-42.00%,79.51565685,-22.00%,251.1282498,41.00%,221.9142915,-60.00%
2013年2月7日,372.7,13.8,33.47752679,-32.00%,79.88118101,-22.00%,241.1714073,34.00%,218.8943131,-62.00%
2013年2月8日,375.95,14.23,26.59821047,-63.00%,82.90232807,-14.00%,138.2738434,-42.00%,216.0287369,-65.00%
2013年2月11日,372.25,15.34,29.09585537,-52.00%,81.54740904,-17.00%,36.99198061,-117.00%,215.69461,-65.00%
2013年2月12日,374.4,12.97,20.8591275,-88.00%,78.63743534,-25.00%,68.88844351,-94.00%,225.6277754,-57.00%
2013年2月13日,374.25,12.67,20.9843942,-87.00%,74.94694913,-34.00%,76.86749581,-88.00%,233.4042507,-51.00%
2013年2月14日,373.75,9.6,18.88732909,-96.00%,63.87003189,-63.00%,61.58840887,-99.00%,234.5698919,-50.00%
2013年2月15日,373.7,9.46,12.07506522,-126.00%,60.36295418,-72.00%,86.29689623,-81.00%,248.4272512,-39.00%
2013年2月19日,364.95,15.37,57.78713352,74.00%,64.02969048,-62.00%,256.6010255,45.00%,260.1355481,-30.00%
2013年2月20日,360.8,15.81,88.28767071,207.00%,75.61486696,-33.00%,461.9693751,196.00%,311.8195334,11.00%
2013年2月21日,355.3,16.94,114.8101215,323.00%,95.0176611,18.00%,626.3090423,318.00%,408.0079032,87.00%
2013年2月22日,353.3,14.69,115.971293,328.00%,113.6329187,66.00%,621.2215959,314.00%,476.740905,142.00%
2013年2月25日,354.3,15.42,70.58285344,130.00%,126.0548565,98.00%,369.3247797,128.00%,479.0304944,143.00%
2013年2月26日,356.65,15.63,41.46134585,2.00%,133.9420652,118.00%,446.4473385,185.00%,474.9059402,140.00%
2013年2月27日,354.5,15.33,17.76526949,-101.00%,143.8854125,143.00%,620.6155033,314.00%,478.8474404,143.00%
2013年2月28日,352.75,15.1,21.25643432,-86.00%,152.1324101,165.00%,579.1907764,283.00%,487.0087192,150.00%
2013年3月1日,348.15,14.95,45.17015829,19.00%,165.0252706,198.00%,301.7867149,78.00%,484.2085572,147.00%
2013年3月4日,348.3,11.98,53.56229271,55.00%,169.9760562,211.00%,221.3463488,19.00%,477.961652,142.00%
