Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年1月2日,3.233,48.22,,,,,,,,
2013年1月3日,3.198,46.36,,,,,,,,
2013年1月4日,3.287,42.17,,,,,,,,
2013年1月7日,3.266,42.14,,,,,,,,
2013年1月8日,3.218,39.89,0.511011233,-71.00%,,,,,,
2013年1月9日,3.113,40.95,0.965013409,-12.00%,,,,,,
2013年1月10日,3.193,44.99,0.970325966,-12.00%,,,,,,
2013年1月11日,3.327,47.2,1.137864526,10.00%,,,,,,
2013年1月14日,3.373,44.29,1.488565054,56.00%,,,5.009194217,15.00%,,
2013年1月15日,3.455,39.67,1.959673116,118.00%,,,6.0148355,42.00%,,
2013年1月16日,3.435,39,1.484740947,56.00%,,,5.412506928,26.00%,,
2013年1月17日,3.494,37.68,0.945374592,-15.00%,,,5.515588357,29.00%,,
2013年1月18日,3.566,37.39,1.01659337,-5.00%,,,5.853094766,38.00%,,
2013年1月22日,3.558,35.25,0.839795975,-29.00%,,,6.638046359,60.00%,,
2013年1月23日,3.554,24.82,0.797121622,-34.00%,,,3.912087825,-16.00%,,
2013年1月24日,3.446,33.76,0.737889748,-42.00%,,,1.600298842,-80.00%,,
2013年1月25日,3.444,27.53,0.891327818,-22.00%,,,1.501229334,-83.00%,,
2013年1月28日,3.289,37.49,1.557268994,65.00%,,,4.771064294,8.00%,,
2013年1月29日,3.226,34.54,1.878683454,107.00%,,,7.293969409,78.00%,,
2013年1月30日,3.335,40.98,1.372093874,41.00%,2.169917146,3.00%,6.691639375,61.00%,,
2013年1月31日,3.339,39.28,1.134582073,10.00%,2.125965371,0.00%,5.398873654,25.00%,,
2013年2月1日,3.301,36.18,0.647711047,-54.00%,2.054813699,-6.00%,6.57392918,58.00%,,
2013年2月4日,3.315,36.71,0.650537255,-53.00%,2.043822974,-7.00%,7.382648459,80.00%,,
2013年2月5日,3.399,40.74,0.532626999,-69.00%,2.014986587,-9.00%,5.18524588,19.00%,6.539439827,-6.00%
2013年2月6日,3.418,37.81,0.733505337,-42.00%,1.939864998,-14.00%,3.293808312,-33.00%,6.339507843,-10.00%
2013年2月7日,3.285,43.17,0.859900273,-26.00%,1.709445118,-32.00%,1.720586467,-77.00%,6.375336017,-10.00%
2013年2月8日,3.272,35.48,0.947557872,-14.00%,1.610291758,-39.00%,2.337267154,-60.00%,6.38083682,-9.00%
2013年2月11日,3.279,33.62,1.016295862,-6.00%,1.64446316,-37.00%,2.716714311,-49.00%,6.380969159,-9.00%
