Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年1月1日,1675.92,10.47,,,,,,,,
2013年1月2日,1686.89,7.8,,,,,,,,
2013年1月3日,1663.99,11.42,,,,,,,,
2013年1月4日,1656.1,11.76,,,,,,,,
2013年1月7日,1646.92,12.11,224.5991572,76.00%,,,,,,
2013年1月8日,1659.13,12.88,212.040802,64.00%,,,,,,
2013年1月9日,1657.63,12.77,88.64394558,-55.00%,,,,,,
2013年1月10日,1675.36,13.67,146.1620483,0.00%,,,,,,
2013年1月11日,1662.98,12.75,145.7439112,0.00%,,,787.6254901,14.00%,,
2013年1月14日,1667.8,12.9,102.1760575,-42.00%,,,685.4941933,-1.00%,,
2013年1月15日,1679.62,13,126.9311355,-18.00%,,,367.3489774,-49.00%,,
2013年1月16日,1679.93,10.28,106.4335926,-38.00%,,,296.672251,-60.00%,,
2013年1月17日,1687.64,9.78,141.981499,-4.00%,,,282.856208,-62.00%,,
2013年1月18日,1684.25,9.03,106.5617959,-38.00%,,,242.0942396,-68.00%,,
2013年1月21日,1690.05,8.58,65.53687475,-77.00%,,,408.4214369,-43.00%,,
2013年1月22日,1692.75,8.4,71.09692854,-72.00%,,,440.8378545,-38.00%,,
2013年1月23日,1685.84,7.32,47.92236021,-94.00%,,,533.418521,-24.00%,,
2013年1月24日,1667.97,8.59,137.1884632,-8.00%,,,508.6396575,-28.00%,,
2013年1月25日,1658.65,8.97,212.2345688,64.00%,,,965.1867409,41.00%,,
2013年1月28日,1655.61,7.68,233.8535517,85.00%,218.2344896,-61.00%,1172.117111,72.00%,,
2013年1月29日,1663.8,8.43,168.5423825,22.00%,219.4014437,-61.00%,1037.020248,51.00%,,
2013年1月30日,1677,9.29,119.213077,-26.00%,212.6944545,-64.00%,689.4216211,-1.00%,,
2013年1月31日,1663.7,10.08,116.1851489,-29.00%,212.817366,-64.00%,755.9503015,9.00%,,
2013年2月1日,1667.4,9.92,109.9364582,-35.00%,206.2591759,-68.00%,746.9651539,8.00%,822.9021493,-34.00%
