Date,PX_Last,VOLATILITY_10D,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,PX_LAST,v1,v2,v3,v4
2013年3月7日 星期四,22771.44,17.3,-0.000281014,0.129741984,-1.86,0.161646902,1.66,0.385640295,0.6,0.577050113,-1.15,22686,0.72,1.6829,0.0079851364,-0.0371758902
2013年3月8日 星期五,23091.95,18.89,0.013976953,0.158547707,-0.53,0.150933066,1.04,0.399833981,0.53,0.577078527,-1.53,23102,1.38,0.2594,-0.0327540244,-0.0461448748
2013年3月11日 星期一,23090.82,16.79,-4.89E-05,0.092793769,-1.62,0.149870723,0.9,0.56568868,1.45,0.600493179,-1.41,23056,1.06,1.6209,0.03993877,-0.0177637486
2013年3月12日 星期二,22890.6,17.9,-0.00870879,0.127194553,-0.38,0.152451616,0.92,0.521174376,0.82,0.600329527,-1.46,22792,1.02,0.4689,0.0071395688,-0.0054170196
2013年3月13日 星期三,22556.65,16.11,-0.014696423,0.153617329,0.91,0.160073895,1.18,0.371388218,-0.98,0.60020619,-1.38,22447,1.36,-0.7972,-0.0185712266,0.002667034
2013年3月14日 星期四,22619.18,16.13,0.002768296,0.156482244,0.75,0.156612311,0.92,0.399564309,-0.67,0.589218566,-1.39,22516,1.11,-0.6106,-0.022320925,-0.0035658014
2013年3月15日 星期五,22533.11,13.99,-0.003812436,0.098880518,-1.01,0.156343527,0.82,0.421868937,-0.46,0.543242541,-1.84,22337,-0.4,1.481,0.0459766334,0.0190634688
2013年3月18日 星期一,22083.36,17.64,-0.020161399,0.127488051,-0.25,0.169166202,1.41,0.333315998,-1.2,0.479580025,-2.27,22047,2.28,0.3848,0.0092730764,0.0040285884
2013年3月19日 星期二,22041.86,16.12,-0.001881011,0.135202467,0.04,0.166919566,1.19,0.330476766,-1.14,0.452454282,-2.16,21961,2.02,-0.172,-0.0089305672,-0.008062222
2013年3月20日 星期三,22256.44,17.62,0.009688032,0.157177232,1.03,0.169163935,1.29,0.341533918,-0.63,0.43535633,-1.99,22255,0.98,-1.5767,-0.0480508068,-0.0259196772
2013年3月21日 星期四,22225.88,14.62,-0.001374029,0.152058327,0.87,0.159562631,0.57,0.328444036,-0.64,0.434233323,-1.75,22262,-0.21,-1.6203,-0.054882738,-0.03698573
2013年3月22日 星期五,22115.3,14.4,-0.004987699,0.15235968,0.66,0.159423474,0.48,0.181668166,-1.99,0.429246044,-1.6,22140,-2.48,-1.5988,-0.0694728978,-0.0619703692
2013年3月25日 星期一,22251.15,15.27,0.006124016,0.087007931,-1.92,0.161369685,0.59,0.4122452,1.24,0.477620073,-1.04,22261,-1.56,1.2389,-0.006162867,-0.0559160634
2013年3月26日 星期二,22311.08,13.78,0.002689723,0.082756329,-1.28,0.155475405,-0.16,0.537671052,1.53,0.5250574,-0.49,22275,0.66,1.2602,0.0201653994,-0.0233501714
2013年3月27日 星期三,22464.82,14.33,0.006867114,0.071449859,-1.06,0.157331901,-0.14,0.564221902,1.13,0.577968857,0.16,22448,0.75,1.4524,0.052116159,0.0144395928
