Date,Price,Open,High,Low,Range %,Volumn,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,Fu Price,Fu Open Interest,Fu log return,Fu_VOL_5D,Fu_VOL_5D_SD,Fu_VOL_20D,Fu_VOL_20D_SD,Fu_VOL2_5D,Fu_VOL2_5D_SD,Fu_VOL2_20D,Fu_VOL2_20D_SD,Fu_Vol2_5D_SD minus Vol_20D_SD,VHSI_Price,VHSI change,VHSI_log return,VHSI_VOL_5D,VHSI_VOL_5D_SD,VHSI_VOL_20D,VHSI_VOL_20D_SD,S&P Price,S&P Volume,S&P log return,S&P_VOL_5D,S&P_VOL_5D_SD,S&P_VOL_20D,S&P_VOL_20D_SD,S&P_VOL2_5D,S&P_VOL2_5D_SD,S&P_VOL2_20D,S&P_VOL2_20D_SD,S&P_Vol2_5D_SD minus Vol_20D_SD,S&P Fu Last Price,S&P Fu Open Interest,S&P Fu log return,S&P Fu_VOL_5D,S&P Fu_VOL_5D_SD,S&P Fu_VOL_20D,S&P Fu_VOL_20D_SD,S&P Fu_VOL2_5D,S&P Fu_VOL2_5D_SD,S&P Fu_VOL2_20D,S&P Fu_VOL2_20D_SD,S&P Fu_Vol2_5D_SD minus Vol_20D_SD,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 (相除),label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
"Wednesday, January 02, 2013",23311.98,22860.25,23317.39,22860.25,,2.13,,,,,,,,,,,23226,135701,,,,,,,,,,,16,,,,,,,1426.19,601105600,,,,,,,,,,,1420,2755128,,,,,,,,,,,,,,
"Thursday, January 03, 2013",23398.6,23390.54,23400.74,23234.43,0.007110139398,2.21,0.003708799989,,,,,,,,,,23449,133498,0.009555509236,,,,,,,,,,15.45,-0.034375,-0.0349797189,,,,,1462.42,680468864,0.02508604482,,,,,,,,,,1457,2765822,0.00387397581,,,,,,,,,,,,,
"Friday, January 04, 2013",23331.09,23370.36,23370.36,23172.28,0.008475693143,1.51,-0.002889385612,,,,,,,,,,23300,131642,-0.006374489488,,,,,,,,,,14.87,-0.03754045307,-0.03826324287,,,,,1459.37,576168384,-0.002087762028,,,,,,,,,,1453.5,2768605,0.001005704921,,,,,,,,,,,,,
"Monday, January 07, 2013",23329.75,23345.2,23402.45,23254.23,0.006349056765,1.4,-0.00005743574271,,,,,,,,,,23329,128465,0.001243861277,,,,,,,,,,14.89,0.001344989913,0.001344086224,,,,,1466.47,499318240,0.004853316611,,,,,,,,,,1457.75,2754086,-0.005257956112,,,,,,,,,,,,,
"Tuesday, January 08, 2013",23111.19,23264.03,23264.03,23088.4,0.007549422864,1.46,-0.009412454339,,,,,,,,,,23152,127720,-0.007616051959,,,,,,,,,,14.49,-0.02686366689,-0.02723109036,,,,,1461.89,490281856,-0.003128033257,,,,,,,,,,1455.75,2764168,0.00365405841,,,,,,,,,,,,,
"Wednesday, January 09, 2013",23218.47,23154.71,23235.39,23141.67,0.004047556631,1.52,0.004631166805,0.09012124608,,,,,,,,,23230,127350,0.003363376893,0.1130326507,,,,,,,,,13.88,-0.04209799862,-0.04300980125,0.2795103337,,,,1457.15,546030208,-0.003247645915,0.1920277223,,,,,,,,,1452.25,2788837,0.008884977516,0.08186667875,,,,,,,,,,,,
"Thursday, January 10, 2013",23354.31,23240.07,23477.89,23165.64,0.01343584593,1.91,0.005833466897,0.09776211406,,,,,,,,,23340,129968,0.004724080076,0.09031504029,,,,,,,,,13.65,-0.01657060519,-0.01670943345,0.2826078268,,,,1461.02,507352352,0.002652348745,0.05891598315,,,,,,,,,1455.75,2777505,-0.004071620341,0.09187249993,,,,,,,,,,,,
"Friday, January 11, 2013",23264.07,23478.81,23486.6,23212.9,0.01165731994,1.53,-0.003871439235,0.09958252376,,,,,,,,,23305,128822,-0.001500697034,0.07753505138,,,,,,,,,13.92,0.01978021978,0.01958713328,0.3875736266,,,,1472.12,569101632,0.007568716794,0.07657431301,,,,,,,,,1467,2772956,-0.001639143494,0.09348210997,,,,,,,,,,,,
"Monday, January 14, 2013",23413.26,23326.82,23441.94,23292.07,0.006424793435,1.56,0.006392418248,0.1115089264,,,,,,,,,23383,129191,0.003341332787,0.08093702097,,,,,,,,,14.27,0.02514367816,0.02483277658,0.4701867234,,,,1472.05,488474720,-0.00004755160199,0.07177392171,,,,,,,,,1467.25,2775649,0.000970694512,0.07950629784,,,,,,,,,,,,
"Tuesday, January 15, 2013",23381.51,23388.47,23515.86,23306.17,0.008965528741,1.45,-0.001356989462,0.07366034202,-1.495024855,,,0.221567159,,,,,23381,128664,-0.00008553588235,0.04175777483,-1.509463043,,,0.4097051853,,,,,14.53,0.01822004205,0.01805604609,0.4664696282,0.9506843355,,,1470.68,491726656,-0.0009311082559,0.06571616144,-0.4894111507,,,0.8850293482,,,,,1464.25,2797558,0.007862300058,0.09123738199,0.5683565224,,,0.1017897542,,,,,,0.00476118665,0.06463704239,-0.01610550179
"Wednesday, January 16, 2013",23356.99,23390.19,23390.19,23203.24,0.007992667011,1.37,-0.001049242156,0.07349848614,-1.045596787,,,0.2687863707,,,,,23360,127568,-0.0008985687689,0.04370510836,-1.02776681,,,0.3574874646,,,,,14.8,0.01858224363,0.01841170319,0.2657226699,-1.115247107,,,1472.34,483929760,0.001128093031,0.05321678487,-1.274511981,,,0.1497464304,,,,,1465.25,2830204,0.01160190008,0.1044787984,1.394211581,,,0.1407695852,,,,,,0.006620322097,0.09007426473,-0.01108367023
"Thursday, January 17, 2013",23339.76,23471.67,23504.73,23222.96,0.0120046848,1.32,-0.0007379528889,0.06110153537,-1.091367505,,,0.3311844337,,,,,23346,127506,-0.0005994947296,0.03030484609,-1.072881701,,,0.3631433548,,,,,14.84,0.002702702703,0.002699056969,0.1316893728,-1.467146448,,,1472.63,513146656,0.0001969459797,0.0543782017,-0.9602427328,,,0.1645518203,,,,,1465.5,2811077,-0.006781109927,0.1169666924,1.397028052,,,0.2253570822,,,,,,0.02360691015,0.3863554329,0.0008380827924
"Friday, January 18, 2013",23601.78,23509.49,23606.5,23450.77,0.006624133488,1.93,0.01116378889,0.08960270944,0.3981509174,,,0.3081321825,,,,,23576,129694,0.009803582205,0.07175034397,0.8380405583,,,0.3420871411,,,,,14.14,-0.04716981132,-0.04831857727,0.4745435434,0.7222773397,,,1480.94,604124160,0.005627103422,0.04101986306,-1.35652959,,,0.1895903077,,,,,1475.75,2855894,0.01581724501,0.1419465234,1.454756674,,,0.383227626,,,,,,-0.01723931273,-0.1923972259,-0.009511003157
"Monday, January 21, 2013",23590.91,23565.96,23639.63,23535.47,0.004419934516,1.1,-0.0004606645729,0.08581848511,0.8024281588,,,0.1796734487,-1.325854837,,,,23591,126692,0.0006360379293,0.07187624277,1.057834465,,,0.3000928499,-1.376985046,,,,14.1,-0.002828854314,-0.002832863084,0.4337460733,0.5265456837,,,1485.98,930380416,0.003397465957,0.04173198215,-0.9272411344,,,0.1623095821,-0.4599444066,,,,1479,2853060,-0.0009928264382,0.1468374034,1.112085043,,,0.3789041401,1.013376655,,,,,-0.02269395831,-0.2644413762,-0.01361178481
"Tuesday, January 22, 2013",23658.99,23596.38,23685.55,23498.96,0.007907568873,1.36,0.002881701215,0.08208642729,0.3222445359,,,0.1805413449,-1.03342211,,,,23672,123774,0.003427631733,0.07047230406,0.661873396,,,0.3082098788,-0.9076185089,,,,13.46,-0.04539007092,-0.04645247317,0.4812737089,0.807039577,,,1485.98,930380416,0,0.03814473691,-1.003705478,,,0.1194666339,-1.474949048,,,,1479,2853060,0,0.1494590682,0.8740772703,,,0.3182134486,0.2762438421,,,,,-0.0283765622,-0.345691281,-0.02471166358
"Wednesday, January 23, 2013",23635.1,23700.45,23710.87,23540.42,0.007191846568,1.54,-0.001010274308,0.08198488397,0.1683540275,,,0.1759567877,-0.7617205404,,,,23618,123094,-0.002283781919,0.07517754426,0.5967926799,,,0.2995469137,-0.807011661,,,,13.17,-0.02154531947,-0.02178080846,0.3772594352,-0.01688351471,,,1492.56,569950400,0.004418279227,0.04012691865,-0.4573754311,,,0.1025068578,-1.2662651,,,,1489.5,2928094,0.0259595969,0.2158897396,1.675530866,,,0.5842796487,1.565475195,,,,,-0.03285074475,-0.4006927029,-0.03098466902
"Thursday, January 24, 2013",23598.9,23585.1,23688.79,23547.79,0.005978350738,1.43,-0.001532794474,0.0840497218,-0.2085344402,,,0.05014478591,-1.411230287,,,,23607,118578,-0.0004658549581,0.07486973786,0.9810131247,,,0.03301891128,-1.771703695,,,,13.1,-0.005315110099,-0.005329285548,0.3453052541,-1.29004821,,,1494.81,494336352,0.001506341983,0.03576317836,-1.486523387,,,0.03838182536,-1.443331051,,,,1490.25,2972476,0.01504357613,0.1823905658,0.4789476087,,,0.5000157103,0.6258930007,,,,,-0.03801713873,-0.4523172465,-0.03867586245
"Friday, January 25, 2013",23580.43,23653.54,23666.39,23481.37,0.007822084982,1.62,-0.0007829700398,0.02787746538,-1.785260262,,,0.3955682439,1.599842904,,,,23597,98016,-0.0004236929137,0.03330513641,-1.777767353,,,0.2842699618,0.3302330686,,,,12.28,-0.06259541985,-0.06464030749,0.4251298546,0.2389650095,,,1494.82,554969600,0.000006689791044,0.03167736195,-1.474391513,,,0.06257109013,-0.7103628322,,,,1491.75,2945028,-0.00927695084,0.2242676756,1.121628514,,,0.573182898,0.8647428374,,,,0.4505501134,0.02614356514,0.9378028019,-0.01834236619
"Monday, January 28, 2013",23671.88,23621.95,23736.02,23621.95,0.004828983213,1.44,0.003870715069,0.03962413558,-0.865684119,,,0.4309391118,1.142370233,,,,23670,79025,0.003088838219,0.03942064154,-0.935987457,,,0.3261174938,0.6201551144,,,,12.59,0.02524429967,0.02493092534,0.5552930679,1.41384534,,,1502.96,570690752,0.005430698721,0.0400526589,0.8189283592,,,0.05620896951,-0.5798339655,,,,1495.75,2944510,-0.0001759051394,0.2226987676,0.7318255454,,,0.5153417748,0.1602661922,,,,-0.4685241499,0.01951702697,0.4925540124,-0.003983364252
"Tuesday, January 29, 2013",23655.17,23659.11,23707.11,23602.85,0.004406759172,3.15,-0.0007061501063,0.03501311871,-0.6901950087,,,0.4300257808,0.7677576525,,,,23668,43908,-0.00008449871144,0.03089880942,-0.885919621,,,0.3554270803,0.7390060291,,,,12.81,0.01747418586,0.01732326785,0.5675467349,1.111164909,,,1500.18,535161280,-0.001851396068,0.04803193252,1.463565194,,,0.09655004683,0.9242157984,,,,1497,2939527,-0.001693735505,0.2260220353,0.6458612549,,,0.289250407,-1.704584255,,,,-0.6330206937,0.0525600969,1.501154391,0.03386335052
"Wednesday, January 30, 2013",23822.06,23767.33,23916.16,23765.57,0.006336008294,1.96,0.007030346437,0.05910625459,0.4393993169,0.07321214923,,0.3602700731,0.1669700729,,,,23843,35531,0.007366748392,0.05396962629,0.4103051432,0.07127598211,,0.2892751739,0.245648727,,,,13.31,0.03903200625,0.0382895165,0.6434632422,1.13560216,0.4763461741,,1507.84,607226816,0.005093062252,0.0504375416,1.161165377,0.09724155199,,0.1263902094,1.432048973,,,,1505,2964345,0.008407413368,0.1496915672,-1.510599886,0.1382825388,,0.5393356054,0.4991785454,,,,-0.5991158715,0.05028782657,0.8508038095,0.06025994195
"Thursday, January 31, 2013",23729.53,23799.17,23799.17,23667.94,0.005514057843,1.83,-0.003891778037,0.0685419411,1.316304553,0.07455433744,,0.2714607195,-1.606288399,,,,23776,135970,-0.002814004671,0.06236587357,1.347517016,0.06559672884,,0.2164543528,-1.489054845,,,,13.5,0.01427498122,0.01417405304,0.6441450147,0.860376727,0.4730114748,,1501.96,569791872,-0.003907241332,0.06620449095,1.468378088,0.05380633163,,0.2045824083,1.581269226,,,,1495.25,2983094,0.006304919515,0.1113637195,-1.419543287,0.1386013826,,0.843688804,1.475871057,,,,-0.07368437038,0.06082249791,0.8873763558,0.08333185594
"Friday, February 01, 2013",23721.84,23763.34,23763.34,23571.3,0.008081355567,1.63,-0.0003241213085,0.06781970264,0.8745909939,0.07346337617,,0.2504566484,-1.150443863,,,,23756,134935,-0.0008415383817,0.06321171629,0.9246104795,0.06042728344,,0.2272879419,-0.9183064202,,,,12.7,-0.05925925926,-0.06108769198,0.6196218836,0.3231299778,0.4993856063,,1498.11,740722944,-0.002566608188,0.07088050314,1.217243619,0.05423534515,,0.205519749,1.02205405,,,,1493.25,2986380,0.001100934632,0.06904197566,-1.260100855,0.1385765004,,1.092502485,1.391333451,,,,0.7308353971,0.08241369711,1.215188122,0.09621236922
"Monday, February 04, 2013",23685.01,23866.8,23944.74,23637.18,0.01288652019,2.74,-0.001553784207,0.06522479573,0.4348598361,0.07389399807,,0.2220823235,-0.9847760138,,,,23638,135220,-0.004979543564,0.07417522059,1.063339844,0.06398518317,,0.257538248,-0.2084431659,,,,13.3,0.04724409449,0.04616204176,0.6747962153,1.122380167,0.5344806939,,1513.17,598682816,0.0100024744,0.0946176231,1.523562916,0.06131497063,,0.2978179013,1.418359951,,,,1506.75,2952773,-0.01131722274,0.1232260526,-0.2172670357,0.1453260953,,0.9237557821,0.5795736753,,,,1.005171957,0.111069724,1.702875766,0.1171533572
"Tuesday, February 05, 2013",23148.53,23406.99,23406.99,23104.27,0.01293288885,2.49,-0.02291107899,0.177173384,1.783957966,0.1067571337,,0.7973049839,1.746454696,,,,23085,128325,-0.02367253063,0.1816349931,1.772584284,0.1042427888,,0.8468703865,1.778917497,,,,14.63,0.1,0.0953101798,0.9079031286,1.764454533,0.6361705084,,1495.71,584697152,-0.01160577755,0.1329948191,1.556235029,0.07563759958,,0.5097010363,1.630785368,,,,1493.5,2942926,-0.003340404304,0.1256543753,0.3329621204,0.147323968,,0.470036017,-1.156257497,,,,0.5028313619,-0.02228739423,-0.1257942572,0.06731277413
"Wednesday, February 06, 2013",23256.93,23292.43,23355.37,23204.05,0.006496531276,1.65,0.004671872541,0.1682105824,1.016131172,0.1067802412,,0.9188607114,1.265184797,,,,23246,129198,0.006950018263,0.1798646468,1.078247974,0.1065946749,,0.9954495524,1.27935416,,,,14.33,-0.02050580998,-0.02071897319,0.9553233671,1.230525244,0.6206914861,,1511.29,587275072,0.01036258026,0.1512116689,1.274610711,0.08043444972,,0.5981827951,1.29879684,,,,1506,2964032,0.007146179072,0.1207056555,0.4551131025,0.1465508567,,0.3734744482,-1.197738426,,,,0.1761591355,-0.03191164434,-0.1897124657,0.02690485687
"Thursday, February 07, 2013",23177,23259.82,23298.13,23134.78,0.007022840246,2.02,-0.003442744517,0.1683937303,0.6789075662,0.1052196943,,0.9125996276,0.8258109942,,,,23201,130539,-0.00193769303,0.1806633847,0.7278688563,0.1053227583,,0.9760523122,0.8167439985,,,,14.22,-0.007676203768,-0.007705817465,0.96871455,0.8679483755,0.6179867051,,1512.12,556294272,0.0005490489354,0.1463396777,0.7759050947,0.08049365622,,0.5550787165,0.7089771962,,,,1506.75,2991919,0.009364483956,0.1322133371,0.7052512766,0.1456534246,,0.4061763844,-0.7456161878,,,,-0.3494610064,-0.04400008712,-0.2612929058,-0.004970795801
"Friday, February 08, 2013",23215.16,23101.09,23267.2,23101.09,0.007190569796,1.83,0.001645105923,0.1721645063,0.4601505835,0.1046129553,,0.7565904212,0.1218682086,,,,23242,131990,0.001765605609,0.1852398803,0.5171246919,0.1054664003,,0.7651158246,-0.01027221625,,,,14.25,0.002109704641,0.00210748234,0.7553301457,-0.7436740935,0.6145110289,,1509.39,553191104,-0.00180704399,0.1451540496,0.4811858198,0.07830678717,,0.3658793243,-0.7764512116,,,,1505.25,3000249,0.002780297671,0.133155748,1.122045322,0.1443363405,,0.08721733788,-1.209329542,,,,-0.5758314114,-0.05801186105,-0.3369559864,-0.03608075448
"Thursday, February 14, 2013",23413.25,23460.31,23469.26,23300.6,0.007189163315,1.53,0.008496587883,0.1955303956,1.694247005,0.1065942267,,0.1802334973,-1.74023946,,,,23413,130673,0.007330436855,0.2025173099,1.746222879,0.1081274894,,0.1503001015,-1.720848116,,,,14.27,0.001403508772,0.001402524774,0.7355565911,-1.159261506,0.6081406116,,1520.33,513566752,0.00722182086,0.1359431337,-0.8405032684,0.08091698348,,0.1206030331,-1.596505827,,,,1517.25,3040795,0.01342370916,0.1020411907,-1.638387596,0.1476699213,,0.2006891584,-0.6741655331,,,,-0.3984343463,-0.09001935301,-0.4603854696,-0.07078347712
