Date,Price,Open,High,Low,Vol.,Change %,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,SPX_Price,SPX and HSI 比例,input1 動能差,input 5,SHComp_input 3 Price,SHComp_Vol.,SHComp_Change %,CNH input 2 Price,Change %,input 7 deviation,US10yT_input 4 Price,US10yT_Change %,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
2013/1/3,23398.6,23390.54,23400.74,23234.43,2.21,0.0037,,,,,,,,,,,1462.42,15.99991794,,,,,,,,,1.835,0.045,,,
2013/1/4,23331.09,23370.36,23370.36,23172.28,1.51,-0.0029,-0.0028893856,,,,,,,,,,1459.37,15.98709717,18.71025027,,2276.99,13.95,0.0035,,,,1.911,0.0414,,,
2013/1/7,23329.75,23345.2,23402.45,23254.23,1.4,-0.0001,-5.743574271E-005,,,,,,,,,,1466.47,15.90878095,114.8483899,,2285.36,11.82,0.0037,,,,1.903,-0.0042,,,
2013/1/8,23111.19,23264.03,23264.03,23088.4,1.46,-0.0094,-0.0094124543,,,,,,,,,,1461.89,15.80911697,145.6977832,,2276.07,12.29,-0.0041,,,,1.901,-0.0011,,,
2013/1/9,23218.47,23154.71,23235.39,23141.67,1.52,0.0046,0.0046311668,,,,,,,,,,1457.15,15.93416601,-182.2152144,15.92781581,2275.34,12.2,-0.0003,,,,1.864,-0.0195,,,
2013/1/10,23354.31,23240.07,23477.89,23165.64,1.91,0.0059,0.0058334669,0.0977621141,,,,,,,,,1461.02,15.98493518,-74.17477755,15.92481926,2283.66,12.01,0.0037,,,,1.86,-0.0021,,,
2013/1/11,23264.07,23478.81,23486.6,23212.9,1.53,-0.0039,-0.0038714392,0.0995825238,,,,,,,,,1472.12,15.80310708,267.6727805,15.88802124,2243,12.51,-0.0178,,,,1.899,0.021,,,
2013/1/14,23413.26,23326.82,23441.94,23292.07,1.56,0.0064,0.0063924182,0.1115089264,,,,,,,,,1472.05,15.90520702,-150.2962175,15.88730645,2311.74,14.47,0.0306,,,,1.866,-0.0174,,,
2013/1/15,23381.51,23388.47,23515.86,23306.17,1.45,-0.0014,-0.0013569895,0.073660342,,,,,,,,,1470.68,15.89843474,9.959866377,15.90517001,2325.68,16.56,0.006,,,,1.848,-0.0096,,,
2013/1/16,23356.99,23390.19,23390.19,23203.24,1.37,-0.001,-0.0010492422,0.0734984861,-1.045596787,,,0.2687863707,,,,,1472.34,15.86385617,50.91140166,15.89110804,2309.5,15.35,-0.007,,,,1.836,-0.0065,,0.0066203221,-0.0110836702
2013/1/17,23339.76,23471.67,23504.73,23222.96,1.32,-0.0007,-0.0007379529,0.0611015354,-1.091367505,,,0.3311844337,,,,,1472.63,15.849032,21.83051829,15.8639274,2284.91,11.91,-0.0106,,,,1.819,-0.0093,,0.0236069102,0.0008380828
2013/1/18,23601.78,23509.49,23606.5,23450.77,1.93,0.0112,0.0111637889,0.0896027094,0.3981509174,,,0.3081321825,,,,,1480.94,15.93702648,-130.314544,15.89071128,2317.07,12.54,0.0141,,,,1.884,0.0357,,-0.0172393127,-0.0095110032
