Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年1月2日,112.47,16.18,,,,,,,,
2013年1月3日,112.14,15.22,,,,,,,,
2013年1月4日,111.31,15.96,,,,,,,,
2013年1月7日,111.4,14.14,,,,,,,,
2013年1月8日,111.94,13.97,6.994445796,-88.00%,,,,,,
2013年1月9日,111.76,9.23,5.001855656,-112.00%,,,,,,
2013年1月10日,111.89,9.04,4.086876558,-124.00%,,,,,,
2013年1月11日,110.64,11.19,7.644593384,-80.00%,,,,,,
2013年1月14日,111.88,12.55,7.850678442,-77.00%,,,23.8399522,-82.00%,,
2013年1月15日,110.3,12.78,10.84013874,-40.00%,,,37.78580374,-52.00%,,
2013年1月16日,110.61,13.03,10.80801036,-40.00%,,,39.59710065,-48.00%,,
2013年1月17日,111.1,12.85,8.729305127,-66.00%,,,22.1493758,-86.00%,,
2013年1月18日,111.89,13.44,10.28030972,-47.00%,,,19.08454859,-93.00%,,
2013年1月21日,111.71,13.2,9.718207242,-54.00%,,,12.50582636,-107.00%,,
2013年1月22日,112.42,13.62,9.9999824,-50.00%,,,10.95785746,-110.00%,,
2013年1月23日,112.8,13.7,9.314211078,-59.00%,,,8.625606344,-115.00%,,
2013年1月24日,113.28,11.61,9.171564752,-60.00%,,,6.564863406,-119.00%,,
2013年1月25日,113.28,10.43,9.36805807,-58.00%,,,4.795863182,-123.00%,,
2013年1月28日,113.48,4.53,6.148498353,-98.00%,,,21.52805807,-87.00%,,
2013年1月29日,114.36,5.14,8.121792906,-74.00%,16.51881262,-98.00%,19.4575209,-92.00%,,
2013年1月30日,114.9,5.15,10.40670553,-45.00%,19.3763121,-79.00%,22.90548123,-84.00%,,
2013年1月31日,115.55,4.9,13.54072258,-6.00%,22.81762338,-56.00%,39.07677646,-50.00%,,
2013年2月1日,116.76,5.02,17.57645698,44.00%,27.35248598,-26.00%,64.18959165,4.00%,,
2013年2月4日,115.6,9.33,12.77462986,-16.00%,28.93109718,-15.00%,50.43910955,-25.00%,46.72139586,-115.00%
2013年2月5日,116.52,9.69,10.83827883,-40.00%,31.5581684,2.00%,40.58513031,-46.00%,46.09671433,-117.00%
2013年2月6日,116.73,9.73,8.619960093,-67.00%,33.7470139,17.00%,47.41163076,-32.00%,43.14341316,-123.00%
2013年2月7日,117.24,9.52,8.560467277,-68.00%,36.07675042,32.00%,53.01708244,-20.00%,38.18051152,-134.00%
2013年2月8日,118.9,10.86,17.28919755,41.00%,39.02626642,52.00%,51.41232232,-23.00%,44.66447854,-120.00%
2013年2月11日,118.13,12.36,14.15899318,2.00%,40.85930767,64.00%,53.68526387,-18.00%,45.28177113,-118.00%
2013年2月12日,118.66,12.36,13.14784971,-11.00%,40.84030733,64.00%,53.39987607,-19.00%,45.99725709,-117.00%
2013年2月13日,118.72,12.39,9.561673494,-56.00%,40.21995071,60.00%,50.32621647,-25.00%,46.2399249,-116.00%
2013年2月14日,118,12.35,5.586744311,-105.00%,38.53737889,49.00%,63.90022645,4.00%,49.25017874,-110.00%
2013年2月15日,117.66,10.76,6.400084999,-95.00%,36.88188516,38.00%,54.79464351,-16.00%,51.456207,-105.00%
2013年2月18日,117.38,10.32,8.45597351,-69.00%,34.05837115,19.00%,42.32466023,-43.00%,51.88606126,-104.00%
2013年2月19日,117.52,10.3,7.596976241,-80.00%,31.63666249,3.00%,22.49713967,-85.00%,52.8077763,-102.00%
2013年2月20日,115.6,13.51,13.35965988,-8.00%,29.01159719,-15.00%,43.23473387,-41.00%,53.6731334,-100.00%
2013年2月21日,113.53,12.43,25.26000855,140.00%,28.66496501,-17.00%,110.1540218,103.00%,73.66572475,-56.00%
2013年2月22日,114.1,13.51,25.97442065,149.00%,27.59931143,-24.00%,126.9261232,139.00%,88.89866611,-22.00%
2013年2月25日,114.44,13.23,22.43611089,105.00%,26.4058594,-32.00%,114.7918355,113.00%,92.77589571,-14.00%
2013年2月26日,112.71,14.15,15.25889537,15.00%,28.73836909,-17.00%,82.43142262,44.00%,91.33851776,-17.00%
2013年2月27日,111.87,14.18,14.85942125,10.00%,32.63046862,9.00%,76.24014452,30.00%,90.83440095,-18.00%
2013年2月28日,111.38,14.1,19.07452752,63.00%,36.94194086,38.00%,67.43946047,11.00%,92.81359422,-13.00%
2013年3月1日,110.4,13.98,21.63946395,95.00%,41.9331091,71.00%,49.85695643,-26.00%,95.8883797,-7.00%
2013年3月4日,110.09,13.38,15.21470341,15.00%,46.51348857,102.00%,42.83755883,-41.00%,95.85342373,-7.00%
2013年3月5日,111.61,16.17,11.08263507,-37.00%,48.28749792,114.00%,57.96018242,-9.00%,95.75025008,-7.00%
2013年3月6日,111.06,13.8,9.162988159,-61.00%,50.11665087,126.00%,74.41437101,26.00%,95.37084137,-8.00%
2013年3月7日,111.15,13.24,8.668934883,-67.00%,51.0788616,132.00%,76.65403024,31.00%,95.29067197,-8.00%
2013年3月8日,110.85,12.76,7.89676592,-76.00%,50.17040071,126.00%,41.66275989,-44.00%,96.99143663,-4.00%
2013年3月11日,110.22,10.8,7.193376954,-85.00%,49.89834218,124.00%,21.00771015,-88.00%,99.57181194,1.00%
2013年3月12日,109.65,10.52,9.0429535,-62.00%,48.60572169,116.00%,11.83008777,-108.00%,100.7047794,4.00%
2013年3月13日,108.52,11.37,14.85073574,10.00%,47.2565813,107.00%,43.42549056,-40.00%,99.96597094,2.00%
2013年3月14日,109.42,12.15,12.42088692,-20.00%,44.68840839,90.00%,46.12485605,-34.00%,95.90576004,-7.00%
2013年3月15日,109.82,12.33,8.998815922,-63.00%,41.10571286,66.00%,43.72209106,-40.00%,93.77974185,-11.00%
2013年3月18日,109.51,8.99,7.185806009,-85.00%,36.88797558,38.00%,43.75097764,-40.00%,94.80992818,-9.00%
2013年3月19日,107.45,12.79,13.70388441,-4.00%,32.80914937,10.00%,45.88675169,-35.00%,92.04163123,-15.00%
2013年3月20日,108.72,15.17,13.44847233,-7.00%,29.3971352,-12.00%,41.25104346,-45.00%,92.0323615,-15.00%
2013年3月21日,107.47,15.94,15.76318648,22.00%,29.86773496,-9.00%,50.79073327,-24.00%,83.03705251,-35.00%
2013年3月22日,107.66,16.1,13.02537953,-12.00%,28.34468371,-19.00%,45.69843031,-35.00%,69.96362506,-64.00%
2013年3月25日,108.17,16.47,7.744807809,-78.00%,24.3632271,-46.00%,42.36085489,-43.00%,63.26277555,-79.00%
2013年3月26日,109.36,16.72,11.02683128,-37.00%,22.00148196,-61.00%,42.69108216,-42.00%,62.46813111,-80.00%
2013年3月27日,109.69,16.2,14.24572357,3.00%,20.48313401,-72.00%,44.14009166,-39.00%,62.16191915,-81.00%
2013年3月28日,110.02,16.16,14.42502825,5.00%,19.46816868,-78.00%,39.51789394,-49.00%,57.46402525,-91.00%
2013年4月1日,111.08,16.77,14.98762049,12.00%,20.00780711,-75.00%,43.60299333,-40.00%,46.78258573,-115.00%
2013年4月2日,110.69,11.98,10.05867745,-49.00%,20.32311642,-73.00%,31.80042476,-65.00%,44.99723786,-119.00%
2013年4月3日,107.11,21.76,22.10319868,101.00%,20.7114641,-70.00%,61.74233354,-1.00%,58.59167753,-89.00%
2013年4月4日,106.34,21.24,30.83014161,210.00%,22.34848352,-59.00%,115.6143244,115.00%,87.25766535,-26.00%
2013年4月5日,104.12,23.63,42.14224712,351.00%,27.3544449,-26.00%,181.6879289,257.00%,132.1846945,73.00%
2013年4月8日,104.66,23.68,36.86751155,285.00%,29.88938851,-9.00%,179.9510455,253.00%,150.5275188,114.00%
2013年4月9日,106.23,24.56,17.75715383,47.00%,30.1700276,-7.00%,143.3134532,174.00%,147.1361664,107.00%
2013年4月10日,105.79,24.26,14.03198746,0.00%,30.95399529,-2.00%,171.8757141,236.00%,144.9327731,102.00%
2013年4月11日,104.27,24.44,13.39289244,-8.00%,33.72580003,17.00%,193.3883724,282.00%,145.2647876,102.00%
2013年4月12日,103.11,22.62,17.64982583,45.00%,37.16420651,39.00%,137.3524934,162.00%,144.4445517,101.00%
2013年4月15日,100.39,24.41,33.34801511,241.00%,44.01345191,85.00%,115.5846361,115.00%,151.8889677,117.00%
2013年4月16日,99.91,20.53,35.70961282,270.00%,49.82619679,124.00%,153.8781537,197.00%,157.802222,130.00%
2013年4月17日,97.69,21.99,37.31956013,290.00%,58.87223533,184.00%,157.7986634,206.00%,167.5128145,151.00%
2013年4月18日,99.13,24.11,28.32140336,178.00%,62.96307286,211.00%,112.6142377,108.00%,167.198408,151.00%
2013年4月19日,99.65,24.12,14.70277688,8.00%,66.00147537,231.00%,129.7707558,145.00%,167.699349,152.00%
2013年4月22日,100.39,22.34,14.70277688,8.00%,67.51338113,242.00%,156.0130755,202.00%,166.7308605,150.00%
2013年4月23日,100.31,22.51,15.65377807,20.00%,68.21004288,246.00%,145.7214876,180.00%,160.6013745,136.00%
2013年4月24日,101.73,24.15,13.88938703,-2.00%,66.34675701,234.00%,86.71207154,53.00%,158.4358862,131.00%
2013年4月25日,103.41,25.52,21.25486937,90.00%,63.00941561,212.00%,42.32603148,-43.00%,155.8892514,126.00%
2013年4月26日,103.16,19.86,20.88544757,86.00%,58.57946481,182.00%,49.98919276,-26.00%,153.2754263,120.00%
2013年4月29日,103.81,19.33,20.5358956,81.00%,51.26131136,133.00%,48.54979805,-29.00%,150.9048293,115.00%
2013年4月30日,102.37,15.72,11.89109785,-27.00%,42.70498539,76.00%,63.13594002,2.00%,149.0375686,111.00%
2013年5月1日,99.95,20.98,21.8713621,98.00%,40.34959112,61.00%,59.12719456,-6.00%,149.0602324,111.00%
2013年5月2日,102.85,25.76,21.02120529,87.00%,37.54320757,42.00%,58.75282095,-7.00%,146.5238471,105.00%
2013年5月3日,104.19,26.2,23.67838103,120.00%,37.59280054,42.00%,65.03357803,6.00%,128.371551,65.00%
2013年5月6日,105.46,26.33,29.42837488,192.00%,38.39983717,48.00%,89.87611426,60.00%,119.5944522,46.00%
2013年5月7日,104.4,26.99,30.17676722,201.00%,36.34046335,34.00%,60.86322102,-3.00%,122.5723543,52.00%
2013年5月8日,104.34,25.74,13.20217073,-10.00%,34.71504039,23.00%,98.35698789,78.00%,123.2813357,54.00%
2013年5月9日,104.47,25.66,7.198979928,-85.00%,34.89330939,24.00%,144.3363061,177.00%,130.3469114,69.00%
2013年5月10日,103.91,25.7,8.109745249,-74.00%,35.33268247,27.00%,161.2134064,213.00%,137.9663559,86.00%
2013年5月13日,102.82,25.15,9.776119476,-53.00%,34.84425929,24.00%,134.819809,156.00%,135.7828068,81.00%
2013年5月14日,102.6,20.59,12.30674742,-21.00%,33.79453945,17.00%,36.87082593,-54.00%,125.3328571,58.00%
2013年5月15日,103.68,14.71,11.02957334,-37.00%,29.26739758,-13.00%,29.57217595,-70.00%,108.2117239,21.00%
2013年5月16日,103.8,12.81,8.600643697,-68.00%,26.41238824,-32.00%,24.54777003,-81.00%,104.776659,13.00%
2013年5月17日,104.64,11.65,11.65253758,-30.00%,24.20326026,-47.00%,21.12541464,-88.00%,105.9591413,16.00%
2013年5月20日,104.8,10.25,12.5115294,-19.00%,22.63026711,-57.00%,22.37511343,-85.00%,106.6555331,17.00%
2013年5月21日,103.91,11.34,7.317166665,-84.00%,19.66096159,-77.00%,30.95114632,-67.00%,111.0366822,27.00%
2013年5月22日,102.6,13.01,12.38862704,-20.00%,18.83869179,-83.00%,33.80883644,-61.00%,111.4854318,28.00%
2013年5月23日,102.44,12.84,15.76759817,22.00%,19.25026316,-80.00%,42.96737548,-41.00%,109.6680697,24.00%
2013年5月24日,102.64,11.72,14.69550789,8.00%,19.46297668,-78.00%,46.20831196,-34.00%,107.8915821,20.00%
2013年5月27日,102.62,11.66,8.551277799,-68.00%,19.65603475,-77.00%,52.70079049,-20.00%,108.3312826,21.00%
2013年5月28日,104.23,13.34,10.56894167,-43.00%,19.44023514,-79.00%,41.86507312,-44.00%,108.8369144,22.00%
2013年5月29日,102.43,16.46,10.86790651,-39.00%,14.85694638,-109.00%,42.97454465,-41.00%,106.0600589,16.00%
2013年5月30日,102.19,15.42,11.46812068,-32.00%,15.49433761,-105.00%,31.59793431,-66.00%,103.135937,9.00%
2013年5月31日,100.39,17.12,19.41430895,67.00%,19.06313977,-81.00%,59.53535093,-6.00%,98.77839429,0.00%
2013年6月3日,102.06,20.32,19.37938699,67.00%,18.02602251,-88.00%,65.70897252,8.00%,82.8819543,-35.00%
2013年6月4日,103.24,20.34,14.78134067,9.00%,17.50599287,-91.00%,58.58331206,-8.00%,54.2701508,-99.00%
2013年6月5日,103.04,20.36,16.00370857,25.00%,16.97392666,-95.00%,47.56085789,-31.00%,55.90637226,-95.00%
2013年6月6日,103.61,20.52,18.3923558,54.00%,16.33283696,-99.00%,29.76508954,-70.00%,56.89745807,-93.00%
2013年6月7日,104.56,20.95,12.88180857,-14.00%,16.92196517,-95.00%,37.52430828,-53.00%,54.40964469,-98.00%
2013年6月10日,103.95,19.58,8.564587556,-68.00%,17.1347395,-94.00%,52.47448935,-21.00%,55.44272099,-96.00%
2013年6月11日,102.96,17.72,9.430366271,-57.00%,17.02277103,-95.00%,59.61464973,-5.00%,56.68181539,-93.00%
2013年6月12日,103.49,17.77,8.402759547,-70.00%,16.96341574,-95.00%,60.19808607,-4.00%,58.36850829,-89.00%
2013年6月13日,104.25,13.6,8.967284539,-63.00%,17.25426949,-93.00%,26.2699392,-77.00%,58.06639708,-90.00%
2013年6月14日,105.93,13.45,15.97628643,24.00%,19.17986477,-80.00%,45.65612257,-35.00%,59.09492723,-88.00%
2013年6月17日,105.47,13.33,17.97117692,49.00%,20.01921069,-75.00%,63.53550966,3.00%,61.70125133,-82.00%
2013年6月18日,106.02,13.13,15.81674657,22.00%,22.15805255,-60.00%,62.69580475,1.00%,58.61239802,-89.00%
2013年6月19日,106.12,13.1,10.96670014,-38.00%,23.91317611,-49.00%,53.82719454,-18.00%,59.16044405,-88.00%
2013年6月20日,102.15,24.86,23.97826416,124.00%,24.11813917,-47.00%,66.77536764,10.00%,69.19401256,-66.00%
2013年6月21日,100.91,25.36,34.50032765,255.00%,25.7285569,-37.00%,128.4190957,142.00%,99.51293937,1.00%
