Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年1月1日,30.305,21.33,,,,,,,,
2013年1月2日,31.0325,14.27,,,,,,,,
2013年1月3日,30.1737,22.42,,,,,,,,
2013年1月4日,30.2955,22.35,,,,,,,,
2013年1月7日,30.155,22.57,5.172969991,68.00%,,,,,,
2013年1月8日,30.3825,22.8,5.130252474,66.00%,,,,,,
2013年1月9日,30.3662,22.69,1.505230647,-72.00%,,,,,,
2013年1月10日,30.8612,23.78,3.78579388,15.00%,,,,,,
2013年1月11日,30.465,24.67,3.674071275,11.00%,,,21.20568734,20.00%,,
2013年1月14日,31.0438,26.51,4.391014171,38.00%,,,19.24437058,9.00%,,
2013年1月15日,31.3775,23.95,5.916367671,96.00%,,,22.55687389,28.00%,,
2013年1月16日,31.4762,16.15,5.796579241,92.00%,,,15.33348685,-13.00%,,
2013年1月17日,31.7475,16.28,6.991102914,137.00%,,,18.70464614,6.00%,,
2013年1月18日,31.865,15.22,4.590738497,46.00%,,,15.11735096,-14.00%,,
2013年1月21日,32.0075,15.22,3.743098895,13.00%,,,17.89734781,1.00%,,
2013年1月22日,32.235,14.73,4.029563339,24.00%,,,19.15956005,9.00%,,
2013年1月23日,32.255,13.8,3.173849713,-8.00%,,,21.01985174,19.00%,,
2013年1月24日,31.6563,16.36,3.596129684,8.00%,,,7.483862169,-58.00%,,
2013年1月25日,31.1962,16.57,6.349923712,113.00%,,,17.78414616,1.00%,,
2013年1月28日,30.885,16.18,8.692935819,202.00%,11.27385396,72.00%,32.96823414,88.00%,,
2013年1月29日,31.39,18.79,7.358353698,151.00%,10.92548261,65.00%,33.93419424,93.00%,,
2013年1月30日,32.035,21.47,6.231600208,108.00%,11.36142543,74.00%,26.61816383,51.00%,,
2013年1月31日,31.4637,23.64,5.998635743,99.00%,10.73101603,61.00%,15.84757919,-10.00%,,
